"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","ELECTRONICS &
COMMUNICATION ENGINEERING","GEN","GUJCET Based","GIA","1188.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","ELECTRONICS &
COMMUNICATION ENGINEERING","SEBC","GUJCET Based","GIA","1830.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","ELECTRONICS &
COMMUNICATION ENGINEERING","ST","GUJCET Based","GIA","38955.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","ELECTRONICS &
COMMUNICATION ENGINEERING","SEBC","JEE Based","GIA","901045.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","ELECTRONICS &
COMMUNICATION ENGINEERING -
TFWS","TFWS","JEE Based","GIA","900471.00"
"Admission Committee for Professional Courses, Gujarat"
"First Year Degree Engineering : 2025-26"
"Institute Wise : Program Wise : Last Admitted Rank after Round-3"
"Inst_Name","Course_name","Cat_Name","Board","Type of
Institute","closing"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","INSTRUMENTATION & CONTROL
ENGINEERING","GEN","GUJCET Based","GIA","8047.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","INSTRUMENTATION & CONTROL
ENGINEERING","GEN","JEE Based","GIA","901854.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","CIVIL ENGINEERING","EWS","GUJCET Based","GOVT","22046.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","CIVIL ENGINEERING","GEN","GUJCET Based","GOVT","20822.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","CIVIL ENGINEERING","SEBC","GUJCET Based","GOVT","31011.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","CIVIL ENGINEERING","ST","GUJCET Based","GOVT","35313.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","CIVIL ENGINEERING","GEN","JEE Based","GOVT","904173.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","CIVIL ENGINEERING","SEBC","JEE Based","GOVT","912805.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","CIVIL ENGINEERING - TFWS","TFWS","GUJCET Based","GOVT","11507.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","COMPUTER ENGINEERING","EWS","GUJCET Based","GOVT","4911.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","COMPUTER ENGINEERING","GEN","GUJCET Based","GOVT","4693.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","COMPUTER ENGINEERING","SC","GUJCET Based","GOVT","26099.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","COMPUTER ENGINEERING","SEBC","GUJCET Based","GOVT","7400.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","COMPUTER ENGINEERING","ST","GUJCET Based","GOVT","32198.00"
"DR. S & S.S.GHANDHI GOVERNMENT
ENGINEERING COLLEGE SURAT","COMPUTER ENGINEERING","SC","JEE Based","GOVT","908166.00"
